,wd,ws,freq_val
0.0,0.0,0.0,5.431712510320254e-05
1.0,0.0,1.0,0.00023356363794377092
2.0,0.0,2.0,0.00046712727588754183
3.0,0.0,3.0,0.000597488376135228
4.0,0.0,4.0,0.0008201885890583583
5.0,0.0,5.0,0.0009777082518576457
6.0,0.0,6.0,0.0009614131143266849
7.0,0.0,7.0,0.0010863425020640508
8.0,0.0,8.0,0.0011895450397601355
9.0,0.0,9.0,0.0012221353148220572
10.0,0.0,10.0,0.0010972059270846913
11.0,0.0,11.0,0.0009777082518576457
12.0,0.0,12.0,0.0007332811888932343
13.0,0.0,13.0,0.0006789640637900317
14.0,0.0,14.0,0.0006083518011558685
15.0,0.0,15.0,0.0004345370008256203
16.0,0.0,16.0,0.0002661539130056924
17.0,0.0,17.0,0.00013579281275800635
18.0,0.0,18.0,0.00015751966279928736
19.0,0.0,19.0,0.00014665623777864684
20.0,0.0,20.0,0.00015751966279928736
21.0,0.0,21.0,0.00011406596271672534
22.0,0.0,22.0,3.802198757224178e-05
23.0,0.0,23.0,4.345370008256203e-05
24.0,0.0,24.0,3.259027506192152e-05
25.0,0.0,25.0,1.629513753096076e-05
26.0,0.0,26.0,1.629513753096076e-05
27.0,0.0,27.0,2.1726850041281015e-05
28.0,0.0,28.0,2.1726850041281015e-05
29.0,0.0,29.0,1.629513753096076e-05
30.0,0.0,30.0,1.0863425020640507e-05
31.0,0.0,31.0,5.431712510320254e-06
32.0,0.0,32.0,5.431712510320254e-06
33.0,0.0,33.0,0.0
34.0,0.0,34.0,0.0
35.0,0.0,35.0,5.431712510320254e-06
36.0,0.0,36.0,0.0
37.0,0.0,37.0,0.0
38.0,0.0,38.0,0.0
39.0,5.0,0.0,3.802198757224178e-05
40.0,5.0,1.0,0.0003313344631295355
41.0,5.0,2.0,0.0005160126884804241
42.0,5.0,3.0,0.0007604397514448355
43.0,5.0,4.0,0.0009559814018163646
44.0,5.0,5.0,0.0009994351018989267
45.0,5.0,6.0,0.0011515230521878938
46.0,5.0,7.0,0.0012655890149046191
47.0,5.0,8.0,0.0010428888019814887
48.0,5.0,9.0,0.0009777082518576457
49.0,5.0,10.0,0.0011189327771259723
50.0,5.0,11.0,0.0008962325642028418
51.0,5.0,12.0,0.0006952592013209925
52.0,5.0,13.0,0.0005920566636249076
53.0,5.0,14.0,0.00042910528831530007
54.0,5.0,15.0,0.0004345370008256203
55.0,5.0,16.0,0.0002824490505366532
56.0,5.0,17.0,0.0002715856255160127
57.0,5.0,18.0,0.00024442706296441143
58.0,5.0,19.0,0.00016838308781992787
59.0,5.0,20.0,0.00015751966279928736
60.0,5.0,21.0,0.00015751966279928736
61.0,5.0,22.0,8.690740016512406e-05
62.0,5.0,23.0,6.518055012384304e-05
63.0,5.0,24.0,5.974883761352279e-05
64.0,5.0,25.0,9.233911267544432e-05
65.0,5.0,26.0,4.345370008256203e-05
66.0,5.0,27.0,5.974883761352279e-05
67.0,5.0,28.0,3.259027506192152e-05
68.0,5.0,29.0,2.1726850041281015e-05
69.0,5.0,30.0,5.431712510320254e-06
70.0,5.0,31.0,5.431712510320254e-06
71.0,5.0,32.0,0.0
72.0,5.0,33.0,0.0
73.0,5.0,34.0,0.0
74.0,5.0,35.0,0.0
75.0,5.0,36.0,0.0
76.0,5.0,37.0,0.0
77.0,5.0,38.0,0.0
78.0,10.0,0.0,7.604397514448356e-05
79.0,10.0,1.0,0.0003584930256811367
80.0,10.0,2.0,0.0005160126884804241
81.0,10.0,3.0,0.0007115543388519532
82.0,10.0,4.0,0.0008636422891409204
83.0,10.0,5.0,0.0010646156520227696
84.0,10.0,6.0,0.0012275670273323774
85.0,10.0,7.0,0.00107004736453309
86.0,10.0,8.0,0.0011026376395950116
87.0,10.0,9.0,0.0011243644896362925
88.0,10.0,10.0,0.0008908008516925216
89.0,10.0,11.0,0.0008908008516925216
90.0,10.0,12.0,0.0006898274888106722
91.0,10.0,13.0,0.0005486029635423457
92.0,10.0,14.0,0.00045626385086690134
93.0,10.0,15.0,0.0004128101507843393
94.0,10.0,16.0,0.0002715856255160127
95.0,10.0,17.0,0.00021726850041281016
96.0,10.0,18.0,0.0002552904879850519
97.0,10.0,19.0,0.00015751966279928736
98.0,10.0,20.0,0.00020640507539216964
99.0,10.0,21.0,0.00011949767522704558
100.0,10.0,22.0,6.518055012384304e-05
101.0,10.0,23.0,4.888541259288228e-05
102.0,10.0,24.0,3.259027506192152e-05
103.0,10.0,25.0,1.0863425020640507e-05
104.0,10.0,26.0,2.715856255160127e-05
105.0,10.0,27.0,2.1726850041281015e-05
106.0,10.0,28.0,2.1726850041281015e-05
107.0,10.0,29.0,0.0
108.0,10.0,30.0,1.0863425020640507e-05
109.0,10.0,31.0,1.0863425020640507e-05
110.0,10.0,32.0,5.431712510320254e-06
111.0,10.0,33.0,0.0
112.0,10.0,34.0,0.0
113.0,10.0,35.0,0.0
114.0,10.0,36.0,0.0
115.0,10.0,37.0,0.0
116.0,10.0,38.0,0.0
117.0,15.0,0.0,7.604397514448356e-05
118.0,15.0,1.0,0.00032047103810889496
119.0,15.0,2.0,0.0005540346760526659
120.0,15.0,3.0,0.000684395776300352
121.0,15.0,4.0,0.0007604397514448355
122.0,15.0,5.0,0.0009885716768782862
123.0,15.0,6.0,0.0010972059270846913
124.0,15.0,7.0,0.0010428888019814887
125.0,15.0,8.0,0.0010211619519402077
126.0,15.0,9.0,0.0010157302394298874
127.0,15.0,10.0,0.0009668448268370051
128.0,15.0,11.0,0.0008419154390996393
129.0,15.0,12.0,0.0006735323512797115
130.0,15.0,13.0,0.0005160126884804241
131.0,15.0,14.0,0.00042910528831530007
132.0,15.0,15.0,0.00036935645070177727
133.0,15.0,16.0,0.0003530613131708165
134.0,15.0,17.0,0.0002715856255160127
135.0,15.0,18.0,0.0001412245252683266
136.0,15.0,19.0,0.00011949767522704558
137.0,15.0,20.0,0.00011406596271672534
138.0,15.0,21.0,0.00010863425020640508
139.0,15.0,22.0,5.431712510320254e-05
140.0,15.0,23.0,8.690740016512406e-05
141.0,15.0,24.0,4.345370008256203e-05
142.0,15.0,25.0,2.715856255160127e-05
143.0,15.0,26.0,5.431712510320254e-06
144.0,15.0,27.0,2.1726850041281015e-05
145.0,15.0,28.0,5.431712510320254e-06
146.0,15.0,29.0,2.1726850041281015e-05
147.0,15.0,30.0,5.431712510320254e-06
148.0,15.0,31.0,2.1726850041281015e-05
149.0,15.0,32.0,1.0863425020640507e-05
150.0,15.0,33.0,0.0
151.0,15.0,34.0,0.0
152.0,15.0,35.0,0.0
153.0,15.0,36.0,0.0
154.0,15.0,37.0,0.0
155.0,15.0,38.0,0.0
156.0,20.0,0.0,7.604397514448356e-05
157.0,20.0,1.0,0.000298744188067614
158.0,20.0,2.0,0.0005214444009907443
159.0,20.0,3.0,0.0006789640637900317
160.0,20.0,4.0,0.0009016642767131621
161.0,20.0,5.0,0.0009396862642854039
162.0,20.0,6.0,0.0009994351018989267
163.0,20.0,7.0,0.0009777082518576457
164.0,20.0,8.0,0.0010972059270846913
165.0,20.0,9.0,0.0008799374266718811
166.0,20.0,10.0,0.0008093251640377178
167.0,20.0,11.0,0.0008147568765480381
168.0,20.0,12.0,0.0006409420762177899
169.0,20.0,13.0,0.0006409420762177899
170.0,20.0,14.0,0.000342197888150176
171.0,20.0,15.0,0.00023899535045409116
172.0,20.0,16.0,0.00021726850041281016
173.0,20.0,17.0,0.00024442706296441143
174.0,20.0,18.0,0.00022813192543345067
175.0,20.0,19.0,0.00016838308781992787
176.0,20.0,20.0,0.00012492938773736584
177.0,20.0,21.0,5.431712510320254e-05
178.0,20.0,22.0,5.974883761352279e-05
179.0,20.0,23.0,2.1726850041281015e-05
180.0,20.0,24.0,5.974883761352279e-05
181.0,20.0,25.0,3.802198757224178e-05
182.0,20.0,26.0,2.1726850041281015e-05
183.0,20.0,27.0,1.629513753096076e-05
184.0,20.0,28.0,1.0863425020640507e-05
185.0,20.0,29.0,3.802198757224178e-05
186.0,20.0,30.0,0.0
187.0,20.0,31.0,0.0
188.0,20.0,32.0,1.629513753096076e-05
189.0,20.0,33.0,5.431712510320254e-06
190.0,20.0,34.0,1.629513753096076e-05
191.0,20.0,35.0,1.629513753096076e-05
192.0,20.0,36.0,0.0
193.0,20.0,37.0,0.0
194.0,20.0,38.0,0.0
195.0,25.0,0.0,0.00010320253769608482
196.0,25.0,1.0,0.00040737843827401903
197.0,25.0,2.0,0.0005431712510320254
198.0,25.0,3.0,0.0006083518011558685
199.0,25.0,4.0,0.0007387129014035545
200.0,25.0,5.0,0.0008582105766306001
201.0,25.0,6.0,0.0009451179767957242
202.0,25.0,7.0,0.0009070959892234823
203.0,25.0,8.0,0.0010863425020640508
204.0,25.0,9.0,0.0009125277017338027
205.0,25.0,10.0,0.0008636422891409204
206.0,25.0,11.0,0.0008799374266718811
207.0,25.0,12.0,0.0005811932386042671
208.0,25.0,13.0,0.0004182418632946595
209.0,25.0,14.0,0.00036935645070177727
210.0,25.0,15.0,0.00027701733802633295
211.0,25.0,16.0,0.00016838308781992787
212.0,25.0,17.0,0.00018467822535088863
213.0,25.0,18.0,0.00020640507539216964
214.0,25.0,19.0,0.00019554165037152912
215.0,25.0,20.0,0.0002227002129231304
216.0,25.0,21.0,7.604397514448356e-05
217.0,25.0,22.0,0.00010863425020640508
218.0,25.0,23.0,5.431712510320254e-05
219.0,25.0,24.0,2.1726850041281015e-05
220.0,25.0,25.0,1.629513753096076e-05
221.0,25.0,26.0,1.0863425020640507e-05
222.0,25.0,27.0,1.0863425020640507e-05
223.0,25.0,28.0,5.431712510320254e-06
224.0,25.0,29.0,0.0
225.0,25.0,30.0,1.0863425020640507e-05
226.0,25.0,31.0,5.431712510320254e-06
227.0,25.0,32.0,1.0863425020640507e-05
228.0,25.0,33.0,5.431712510320254e-06
229.0,25.0,34.0,5.431712510320254e-06
230.0,25.0,35.0,0.0
231.0,25.0,36.0,0.0
232.0,25.0,37.0,0.0
233.0,25.0,38.0,0.0
234.0,30.0,0.0,9.777082518576456e-05
235.0,30.0,1.0,0.00034762960066049624
236.0,30.0,2.0,0.0005214444009907443
237.0,30.0,3.0,0.0006789640637900317
238.0,30.0,4.0,0.0007115543388519532
239.0,30.0,5.0,0.0008908008516925216
240.0,30.0,6.0,0.0009777082518576457
241.0,30.0,7.0,0.0010211619519402077
242.0,30.0,8.0,0.0009233911267544432
243.0,30.0,9.0,0.0007658714639551558
244.0,30.0,10.0,0.0007930300265067571
245.0,30.0,11.0,0.0007767348889757962
246.0,30.0,12.0,0.0005214444009907443
247.0,30.0,13.0,0.0003530613131708165
248.0,30.0,14.0,0.00030960761308825447
249.0,30.0,15.0,0.0003259027506192152
250.0,30.0,16.0,0.00019010993786120888
251.0,30.0,17.0,0.00019010993786120888
252.0,30.0,18.0,0.00021183678790248988
253.0,30.0,19.0,0.00019010993786120888
254.0,30.0,20.0,0.00019554165037152912
255.0,30.0,21.0,0.00010863425020640508
256.0,30.0,22.0,0.00010863425020640508
257.0,30.0,23.0,9.233911267544432e-05
258.0,30.0,24.0,2.715856255160127e-05
259.0,30.0,25.0,2.1726850041281015e-05
260.0,30.0,26.0,4.345370008256203e-05
261.0,30.0,27.0,2.715856255160127e-05
262.0,30.0,28.0,5.431712510320254e-06
263.0,30.0,29.0,1.629513753096076e-05
264.0,30.0,30.0,5.431712510320254e-06
265.0,30.0,31.0,1.629513753096076e-05
266.0,30.0,32.0,5.431712510320254e-06
267.0,30.0,33.0,5.431712510320254e-06
268.0,30.0,34.0,5.431712510320254e-06
269.0,30.0,35.0,0.0
270.0,30.0,36.0,0.0
271.0,30.0,37.0,0.0
272.0,30.0,38.0,0.0
273.0,35.0,0.0,9.233911267544432e-05
274.0,35.0,1.0,0.00030417590057793423
275.0,35.0,2.0,0.0004942858384391431
276.0,35.0,3.0,0.0006192152261765089
277.0,35.0,4.0,0.0007169860513622735
278.0,35.0,5.0,0.000749576326424195
279.0,35.0,6.0,0.0008745057141615609
280.0,35.0,7.0,0.0010102985269195672
281.0,35.0,8.0,0.0010809107895537306
282.0,35.0,9.0,0.0008473471516099595
283.0,35.0,10.0,0.0006898274888106722
284.0,35.0,11.0,0.0006681006387693913
285.0,35.0,12.0,0.0005486029635423457
286.0,35.0,13.0,0.00039651501325337855
287.0,35.0,14.0,0.0002824490505366532
288.0,35.0,15.0,0.00022813192543345067
289.0,35.0,16.0,0.00018467822535088863
290.0,35.0,17.0,0.0001629513753096076
291.0,35.0,18.0,0.00011406596271672534
292.0,35.0,19.0,0.00015208795028896711
293.0,35.0,20.0,0.00015208795028896711
294.0,35.0,21.0,7.06122626341633e-05
295.0,35.0,22.0,0.00010863425020640508
296.0,35.0,23.0,8.14756876548038e-05
297.0,35.0,24.0,7.06122626341633e-05
298.0,35.0,25.0,3.802198757224178e-05
299.0,35.0,26.0,5.431712510320254e-05
300.0,35.0,27.0,2.715856255160127e-05
301.0,35.0,28.0,1.629513753096076e-05
302.0,35.0,29.0,0.0
303.0,35.0,30.0,5.431712510320254e-06
304.0,35.0,31.0,1.629513753096076e-05
305.0,35.0,32.0,0.0
306.0,35.0,33.0,5.431712510320254e-06
307.0,35.0,34.0,1.0863425020640507e-05
308.0,35.0,35.0,0.0
309.0,35.0,36.0,0.0
310.0,35.0,37.0,0.0
311.0,35.0,38.0,0.0
312.0,40.0,0.0,9.777082518576456e-05
313.0,40.0,1.0,0.00030417590057793423
314.0,40.0,2.0,0.0004725589883978621
315.0,40.0,3.0,0.0006572372137487507
316.0,40.0,4.0,0.0007169860513622735
317.0,40.0,5.0,0.0007604397514448355
318.0,40.0,6.0,0.0008527788641202799
319.0,40.0,7.0,0.0009668448268370051
320.0,40.0,8.0,0.0008962325642028418
321.0,40.0,9.0,0.0007930300265067571
322.0,40.0,10.0,0.0006789640637900317
323.0,40.0,11.0,0.0005431712510320254
324.0,40.0,12.0,0.000597488376135228
325.0,40.0,13.0,0.00039651501325337855
326.0,40.0,14.0,0.0002715856255160127
327.0,40.0,15.0,0.00019554165037152912
328.0,40.0,16.0,0.00022813192543345067
329.0,40.0,17.0,0.0001629513753096076
330.0,40.0,18.0,7.604397514448356e-05
331.0,40.0,19.0,0.00010863425020640508
332.0,40.0,20.0,5.431712510320254e-05
333.0,40.0,21.0,8.14756876548038e-05
334.0,40.0,22.0,8.690740016512406e-05
335.0,40.0,23.0,5.974883761352279e-05
336.0,40.0,24.0,0.00012492938773736584
337.0,40.0,25.0,4.345370008256203e-05
338.0,40.0,26.0,4.888541259288228e-05
339.0,40.0,27.0,4.345370008256203e-05
340.0,40.0,28.0,5.431712510320254e-06
341.0,40.0,29.0,2.1726850041281015e-05
342.0,40.0,30.0,5.431712510320254e-06
343.0,40.0,31.0,5.431712510320254e-06
344.0,40.0,32.0,5.431712510320254e-06
345.0,40.0,33.0,5.431712510320254e-06
346.0,40.0,34.0,0.0
347.0,40.0,35.0,0.0
348.0,40.0,36.0,0.0
349.0,40.0,37.0,0.0
350.0,40.0,38.0,0.0
351.0,45.0,0.0,0.00010320253769608482
352.0,45.0,1.0,0.0003150393255985747
353.0,45.0,2.0,0.0005160126884804241
354.0,45.0,3.0,0.0007006909138313127
355.0,45.0,4.0,0.000684395776300352
356.0,45.0,5.0,0.0008799374266718811
357.0,45.0,6.0,0.0008745057141615609
358.0,45.0,7.0,0.0007169860513622735
359.0,45.0,8.0,0.000771303176465476
360.0,45.0,9.0,0.0008853691391822014
361.0,45.0,10.0,0.0006735323512797115
362.0,45.0,11.0,0.0006300786511971494
363.0,45.0,12.0,0.0005920566636249076
364.0,45.0,13.0,0.00039108330074305825
365.0,45.0,14.0,0.00038021987572241776
366.0,45.0,15.0,0.00024442706296441143
367.0,45.0,16.0,0.000298744188067614
368.0,45.0,17.0,0.00013579281275800635
369.0,45.0,18.0,0.00010320253769608482
370.0,45.0,19.0,9.777082518576456e-05
371.0,45.0,20.0,8.690740016512406e-05
372.0,45.0,21.0,6.518055012384304e-05
373.0,45.0,22.0,7.06122626341633e-05
374.0,45.0,23.0,4.345370008256203e-05
375.0,45.0,24.0,5.431712510320254e-05
376.0,45.0,25.0,2.1726850041281015e-05
377.0,45.0,26.0,1.629513753096076e-05
378.0,45.0,27.0,5.431712510320254e-05
379.0,45.0,28.0,3.259027506192152e-05
380.0,45.0,29.0,2.1726850041281015e-05
381.0,45.0,30.0,3.802198757224178e-05
382.0,45.0,31.0,1.629513753096076e-05
383.0,45.0,32.0,0.0
384.0,45.0,33.0,0.0
385.0,45.0,34.0,0.0
386.0,45.0,35.0,0.0
387.0,45.0,36.0,0.0
388.0,45.0,37.0,0.0
389.0,45.0,38.0,0.0
390.0,50.0,0.0,7.06122626341633e-05
391.0,50.0,1.0,0.000298744188067614
392.0,50.0,2.0,0.0004725589883978621
393.0,50.0,3.0,0.000662668926259071
394.0,50.0,4.0,0.0007875983139964368
395.0,50.0,5.0,0.0008310520140789988
396.0,50.0,6.0,0.0007115543388519532
397.0,50.0,7.0,0.0007875983139964368
398.0,50.0,8.0,0.0008582105766306001
399.0,50.0,9.0,0.0008419154390996393
400.0,50.0,10.0,0.0006681006387693913
401.0,50.0,11.0,0.0006137835136661887
402.0,50.0,12.0,0.0005377395385217052
403.0,50.0,13.0,0.00042910528831530007
404.0,50.0,14.0,0.0003259027506192152
405.0,50.0,15.0,0.0003530613131708165
406.0,50.0,16.0,0.00023356363794377092
407.0,50.0,17.0,0.0002227002129231304
408.0,50.0,18.0,0.00017924651284056836
409.0,50.0,19.0,0.00017924651284056836
410.0,50.0,20.0,9.233911267544432e-05
411.0,50.0,21.0,0.00011406596271672534
412.0,50.0,22.0,0.00010320253769608482
413.0,50.0,23.0,9.777082518576456e-05
414.0,50.0,24.0,7.604397514448356e-05
415.0,50.0,25.0,4.888541259288228e-05
416.0,50.0,26.0,4.345370008256203e-05
417.0,50.0,27.0,5.974883761352279e-05
418.0,50.0,28.0,3.802198757224178e-05
419.0,50.0,29.0,5.431712510320254e-06
420.0,50.0,30.0,5.431712510320254e-06
421.0,50.0,31.0,0.0
422.0,50.0,32.0,0.0
423.0,50.0,33.0,0.0
424.0,50.0,34.0,0.0
425.0,50.0,35.0,0.0
426.0,50.0,36.0,0.0
427.0,50.0,37.0,0.0
428.0,50.0,38.0,0.0
429.0,55.0,0.0,9.233911267544432e-05
430.0,55.0,1.0,0.0002552904879850519
431.0,55.0,2.0,0.0005051492634597836
432.0,55.0,3.0,0.0006572372137487507
433.0,55.0,4.0,0.0008310520140789988
434.0,55.0,5.0,0.000749576326424195
