wd,ws,freq_val
0,0,6.32E-05
0,1,0.000484828
0,2,0.001110826
0,3,0.001837592
0,4,0.00250019
0,5,0.00294414
0,6,0.003824911
0,7,0.004187105
0,8,0.004247947
0,9,0.004366302
0,10,0.003998403
0,11,0.003850578
0,12,0.00390524
0,13,0.003778329
0,14,0.003401875
0,15,0.003751236
0,16,0.004310214
0,17,0.004362024
0,18,0.003636208
0,19,0.003004981
0,20,0.002262529
0,21,0.00173112
0,22,0.001388414
0,23,0.001140296
0,24,0.000903111
0,25,0.000559929
0,26,0.000464864
0,27,0.000291847
0,28,0.000161134
0,29,8.84E-05
0,30,3.71E-05
5,0,5.23E-05
5,1,0.000495285
5,2,0.001095616
5,3,0.001742053
5,4,0.002345711
5,5,0.002771599
5,6,0.003048711
5,7,0.002792513
5,8,0.002630428
5,9,0.002357118
5,10,0.002006331
5,11,0.001877519
5,12,0.001652692
5,13,0.001637957
5,14,0.001808122
5,15,0.001694996
5,16,0.001880371
5,17,0.001751084
5,18,0.001572838
5,19,0.00108706
5,20,0.000740551
5,21,0.000508594
5,22,0.000390714
5,23,0.000292323
5,24,0.000288045
5,25,0.000147825
5,26,5.61E-05
5,27,2.04E-05
5,28,2.42E-05
5,29,0
5,30,0
10,0,5.18E-05
10,1,0.000484828
10,2,0.001089912
10,3,0.001608487
10,4,0.002028671
10,5,0.002188379
10,6,0.002171268
10,7,0.001794813
10,8,0.00162037
10,9,0.001460187
10,10,0.001255799
10,11,0.001230607
10,12,0.000990094
10,13,0.001016712
10,14,0.001125086
10,15,0.001091338
10,16,0.000926877
10,17,0.00071726
10,18,0.000577515
10,19,0.000389763
10,20,0.000304206
10,21,0.000221024
10,22,0.00012501
10,23,6.80E-05
10,24,6.84E-05
10,25,4.14E-05
10,26,1.05E-05
10,27,3.80E-06
10,28,9.51E-07
10,29,0
10,30,0
15,0,6.51E-05
15,1,0.000461537
15,2,0.000955396
15,3,0.00149346
15,4,0.001735398
15,5,0.001372728
15,6,0.001388889
15,7,0.001172618
15,8,0.000958248
15,9,0.000919271
15,10,0.000885048
15,11,0.000814701
15,12,0.000751008
15,13,0.000709655
15,14,0.000499563
15,15,0.000427789
15,16,0.000281866
15,17,0.000261427
15,18,0.000166838
15,19,0.000165887
15,20,0.000116929
15,21,2.95E-05
15,22,1.47E-05
15,23,9.51E-06
15,24,3.80E-06
15,25,4.75E-07
15,26,2.85E-06
15,27,2.38E-06
15,28,0
15,29,0
15,30,0
20,0,5.23E-05
20,1,0.000456308
20,2,0.000893129
20,3,0.001233459
20,4,0.001212069
20,5,0.001016712
20,6,0.000952069
20,7,0.000802818
20,8,0.000728668
20,9,0.000606035
20,10,0.000520952
20,11,0.000458685
20,12,0.000412579
20,13,0.000266655
20,14,0.00017777
20,15,0.000107423
20,16,7.61E-05
20,17,6.23E-05
20,18,2.90E-05
20,19,2.80E-05
20,20,9.98E-06
20,21,9.51E-07
20,22,1.43E-06
20,23,1.43E-06
20,24,1.43E-06
20,25,0
20,26,0
20,27,4.75E-07
20,28,0
20,29,0
20,30,0
25,0,5.47E-05
25,1,0.000415906
25,2,0.000854152
25,3,0.001052361
25,4,0.000932105
25,5,0.00073152
25,6,0.000623622
25,7,0.000553274
25,8,0.000446802
25,9,0.000398795
25,10,0.000300878
25,11,0.00025097
25,12,0.000136417
25,13,0.000120732
25,14,8.13E-05
25,15,4.66E-05
25,16,3.52E-05
25,17,1.66E-05
25,18,5.70E-06
25,19,4.75E-07
25,20,4.75E-07
25,21,4.75E-07
25,22,0
25,23,0
25,24,0
25,25,0
25,26,0
25,27,1.43E-06
25,28,0
25,29,0
25,30,0
30,0,4.90E-05
30,1,0.000402597
30,2,0.000775249
30,3,0.000871264
30,4,0.000781904
30,5,0.000620294
30,6,0.000428265
30,7,0.000423511
30,8,0.00033225
30,9,0.000210092
30,10,0.00014117
30,11,8.13E-05
30,12,6.61E-05
30,13,4.61E-05
30,14,2.52E-05
30,15,7.13E-06
30,16,7.13E-06
30,17,4.75E-06
30,18,5.70E-06
30,19,9.51E-07
30,20,1.43E-06
30,21,0
30,22,9.51E-07
30,23,0
30,24,0
30,25,0
30,26,0
30,27,1.43E-06
30,28,0
30,29,0
30,30,0
35,0,5.04E-05
35,1,0.000382158
35,2,0.000775249
35,3,0.000744829
35,4,0.000580367
35,5,0.000473895
35,6,0.000336052
35,7,0.00028139
35,8,0.000186326
35,9,0.000118355
35,10,9.79E-05
35,11,6.80E-05
35,12,4.66E-05
35,13,2.42E-05
35,14,9.98E-06
35,15,8.56E-06
35,16,3.33E-06
35,17,1.90E-06
35,18,2.38E-06
35,19,4.75E-07
35,20,0
35,21,0
35,22,0
35,23,0
35,24,0
35,25,0
35,26,0
35,27,0
35,28,0
35,29,0
35,30,0
40,0,5.13E-05
40,1,0.000439672
40,2,0.000688741
40,3,0.000630276
40,4,0.000521427
40,5,0.000349361
40,6,0.000327021
40,7,0.000269032
40,8,0.000116454
40,9,0.000119306
40,10,7.03E-05
40,11,3.85E-05
40,12,2.47E-05
40,13,6.18E-06
40,14,3.33E-06
40,15,4.28E-06
40,16,2.85E-06
40,17,0
40,18,9.51E-07
40,19,4.75E-07
40,20,0
40,21,0
40,22,0
40,23,0
40,24,0
40,25,0
40,26,0
40,27,0
40,28,0
40,29,0
40,30,0
45,0,5.09E-05
45,1,0.000432067
45,2,0.000588448
45,3,0.000537113
45,4,0.000439197
45,5,0.000261902
45,6,0.000239562
45,7,0.000165887
45,8,0.000131664
45,9,6.61E-05
45,10,5.18E-05
45,11,1.90E-05
45,12,7.61E-06
45,13,1.95E-05
45,14,7.61E-06
45,15,2.85E-06
45,16,2.38E-06
45,17,2.38E-06
45,18,0
45,19,0
45,20,9.51E-07
45,21,0
45,22,0
45,23,0
45,24,0
45,25,0
45,26,0
45,27,0
45,28,0
45,29,0
45,30,0
50,0,4.94E-05
50,1,0.00039927
50,2,0.000540916
50,3,0.000492433
50,4,0.000312761
50,5,0.000210567
50,6,0.000180622
50,7,0.000175869
50,8,0.00011075
50,9,5.61E-05
50,10,4.52E-05
50,11,2.57E-05
50,12,1.05E-05
50,13,1.71E-05
50,14,2.42E-05
50,15,5.23E-06
50,16,0
50,17,1.43E-06
50,18,0
50,19,4.75E-07
50,20,1.43E-06
50,21,0
50,22,0
50,23,0
50,24,0
50,25,0
50,26,0
50,27,0
50,28,0
50,29,0
50,30,0
55,0,4.33E-05
55,1,0.000380732
55,2,0.000434919
55,3,0.000407826
55,4,0.000260001
55,5,0.000170165
55,6,0.000138319
55,7,0.000110275
55,8,9.51E-05
55,9,5.04E-05
55,10,5.18E-05
55,11,2.47E-05
55,12,1.09E-05
55,13,1.43E-05
55,14,1.09E-05
55,15,5.23E-06
55,16,4.75E-07
55,17,0
55,18,0
55,19,0
55,20,0
55,21,0
55,22,0
55,23,0
55,24,0
55,25,0
55,26,0
55,27,0
55,28,0
55,29,0
55,30,0
60,0,5.70E-05
60,1,0.000336527
60,2,0.000458685
60,3,0.000365047
60,4,0.000247642
60,5,0.000149251
60,6,0.000102669
60,7,7.56E-05
60,8,6.70E-05
60,9,7.56E-05
60,10,3.52E-05
60,11,4.80E-05
60,12,2.99E-05
60,13,8.56E-06
60,14,3.80E-06
60,15,1.90E-06
60,16,5.23E-06
60,17,0
