wd,ws,freq_val
0,0,5.43E-05
0,1,0.000233564
0,2,0.000467127
0,3,0.000597488
0,4,0.000820189
0,5,0.000977708
0,6,0.000961413
0,7,0.001086343
0,8,0.001189545
0,9,0.001222135
0,10,0.001097206
0,11,0.000977708
0,12,0.000733281
0,13,0.000678964
0,14,0.000608352
0,15,0.000434537
0,16,0.000266154
0,17,0.000135793
0,18,0.00015752
0,19,0.000146656
0,20,0.00015752
0,21,0.000114066
0,22,3.80E-05
0,23,4.35E-05
0,24,3.26E-05
0,25,1.63E-05
0,26,1.63E-05
0,27,2.17E-05
0,28,2.17E-05
0,29,1.63E-05
0,30,1.09E-05
0,31,5.43E-06
0,32,5.43E-06
0,33,0
0,34,0
0,35,5.43E-06
0,36,0
0,37,0
0,38,0
5,0,3.80E-05
5,1,0.000331334
5,2,0.000516013
5,3,0.00076044
5,4,0.000955981
5,5,0.000999435
5,6,0.001151523
5,7,0.001265589
5,8,0.001042889
5,9,0.000977708
5,10,0.001118933
5,11,0.000896233
5,12,0.000695259
5,13,0.000592057
5,14,0.000429105
5,15,0.000434537
5,16,0.000282449
5,17,0.000271586
5,18,0.000244427
5,19,0.000168383
5,20,0.00015752
5,21,0.00015752
5,22,8.69E-05
5,23,6.52E-05
5,24,5.97E-05
5,25,9.23E-05
5,26,4.35E-05
5,27,5.97E-05
5,28,3.26E-05
5,29,2.17E-05
5,30,5.43E-06
5,31,5.43E-06
5,32,0
5,33,0
5,34,0
5,35,0
5,36,0
5,37,0
5,38,0
10,0,7.60E-05
10,1,0.000358493
10,2,0.000516013
10,3,0.000711554
10,4,0.000863642
10,5,0.001064616
10,6,0.001227567
10,7,0.001070047
10,8,0.001102638
10,9,0.001124364
10,10,0.000890801
10,11,0.000890801
10,12,0.000689827
10,13,0.000548603
10,14,0.000456264
10,15,0.00041281
10,16,0.000271586
10,17,0.000217269
10,18,0.00025529
10,19,0.00015752
10,20,0.000206405
10,21,0.000119498
10,22,6.52E-05
10,23,4.89E-05
10,24,3.26E-05
10,25,1.09E-05
10,26,2.72E-05
10,27,2.17E-05
10,28,2.17E-05
10,29,0
10,30,1.09E-05
10,31,1.09E-05
10,32,5.43E-06
10,33,0
10,34,0
10,35,0
10,36,0
10,37,0
10,38,0
15,0,7.60E-05
15,1,0.000320471
15,2,0.000554035
15,3,0.000684396
15,4,0.00076044
15,5,0.000988572
15,6,0.001097206
15,7,0.001042889
15,8,0.001021162
15,9,0.00101573
15,10,0.000966845
15,11,0.000841915
15,12,0.000673532
15,13,0.000516013
15,14,0.000429105
15,15,0.000369356
15,16,0.000353061
15,17,0.000271586
15,18,0.000141225
15,19,0.000119498
15,20,0.000114066
15,21,0.000108634
15,22,5.43E-05
15,23,8.69E-05
15,24,4.35E-05
15,25,2.72E-05
15,26,5.43E-06
15,27,2.17E-05
15,28,5.43E-06
15,29,2.17E-05
15,30,5.43E-06
15,31,2.17E-05
15,32,1.09E-05
15,33,0
