wd,ws,freq_val
0,0,7.60E-05
0,1,0.000266154
0,2,0.000293312
0,3,0.000418242
0,4,0.000575762
0,5,0.000630079
0,6,0.000684396
0,7,0.000874506
0,8,0.000798462
0,9,0.000744145
0,10,0.000961413
0,11,0.000939686
0,12,0.000744145
0,13,0.00060292
0,14,0.00057033
0,15,0.000543171
0,16,0.000249859
0,17,0.0002227
0,18,0.000108634
0,19,5.43E-05
0,20,4.89E-05
0,21,2.72E-05
0,22,1.63E-05
0,23,0
0,24,5.43E-06
0,25,1.09E-05
0,26,1.09E-05
0,27,0
0,28,0
0,29,0
0,30,0
5,0,8.15E-05
5,1,0.000233564
5,2,0.000374788
5,3,0.000581193
5,4,0.00057033
5,5,0.000684396
5,6,0.000700691
5,7,0.000939686
5,8,0.000776735
5,9,0.000901664
5,10,0.00076044
5,11,0.000912528
5,12,0.000809325
5,13,0.000624647
5,14,0.000499718
5,15,0.000559466
5,16,0.000304176
5,17,0.000206405
5,18,9.78E-05
5,19,6.52E-05
5,20,0.000103203
5,21,1.63E-05
5,22,0
5,23,5.43E-06
5,24,0
5,25,0
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
10,0,7.06E-05
10,1,0.000293312
10,2,0.000483422
10,3,0.000575762
10,4,0.000559466
10,5,0.000771303
10,6,0.001032025
10,7,0.001010299
10,8,0.000961413
10,9,0.000869074
10,10,0.000972277
10,11,0.001151523
10,12,0.000809325
10,13,0.000749576
10,14,0.000586625
10,15,0.000554035
10,16,0.000358493
10,17,0.00019011
10,18,0.000179247
10,19,0.000119498
10,20,4.89E-05
10,21,3.80E-05
10,22,2.17E-05
10,23,1.09E-05
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,0
10,30,0
15,0,8.15E-05
15,1,0.000249859
15,2,0.000456264
15,3,0.000559466
15,4,0.00079303
15,5,0.000809325
15,6,0.00101573
15,7,0.001070047
15,8,0.001091774
15,9,0.001070047
15,10,0.001010299
15,11,0.001129796
15,12,0.000912528
15,13,0.000820189
15,14,0.000700691
15,15,0.000521444
15,16,0.000309608
15,17,0.000195542
15,18,0.000184678
15,19,5.43E-05
15,20,7.06E-05
15,21,5.43E-06
15,22,5.43E-06
15,23,0
15,24,5.43E-06
15,25,0
15,26,0
15,27,0
15,28,0
15,29,0
15,30,0
20,0,0.000141225
20,1,0.00025529
20,2,0.000456264
20,3,0.00060292
20,4,0.000901664
20,5,0.001097206
20,6,0.000994003
20,7,0.001232999
20,8,0.00123843
20,9,0.001178682
20,10,0.001265589
20,11,0.000988572
20,12,0.001080911
20,13,0.000901664
20,14,0.000727849
20,15,0.000532308
20,16,0.000298744
20,17,0.000249859
20,18,0.000184678
20,19,7.60E-05
20,20,1.63E-05
20,21,0
20,22,0
20,23,1.09E-05
20,24,0
20,25,0
20,26,5.43E-06
20,27,0
20,28,0
20,29,0
20,30,0
25,0,9.23E-05
25,1,0.00034763
25,2,0.000678964
25,3,0.00079303
25,4,0.001042889
25,5,0.001227567
25,6,0.00117325
25,7,0.001260157
25,8,0.001287316
25,9,0.00133077
25,10,0.001254726
25,11,0.001281884
25,12,0.001026594
25,13,0.000836484
25,14,0.000733281
25,15,0.000483422
25,16,0.000353061
25,17,0.000287881
25,18,0.000141225
25,19,8.69E-05
25,20,2.17E-05
25,21,1.63E-05
25,22,5.43E-06
25,23,5.43E-06
25,24,0
25,25,0
25,26,0
25,27,0
25,28,0
25,29,0
25,30,0
30,0,8.15E-05
30,1,0.000287881
30,2,0.000554035
30,3,0.000852779
30,4,0.000901664
30,5,0.001276452
30,6,0.001466562
30,7,0.001477426
30,8,0.001200408
30,9,0.001325338
30,10,0.001439404
30,11,0.001211272
30,12,0.000869074
30,13,0.000722418
30,14,0.000548603
30,15,0.000407378
30,16,0.000287881
30,17,0.000103203
30,18,8.69E-05
30,19,5.97E-05
30,20,2.72E-05
30,21,1.63E-05
30,22,0
30,23,0
30,24,0
30,25,0
30,26,0
30,27,0
30,28,0
30,29,0
30,30,0
35,0,7.60E-05
35,1,0.000358493
35,2,0.000581193
35,3,0.00098314
35,4,0.000934255
35,5,0.001167818
35,6,0.001357928
35,7,0.001401382
35,8,0.001575197
35,9,0.001602355
35,10,0.001488289
35,11,0.001037457
35,12,0.000836484
35,13,0.000733281
35,14,0.000461696
35,15,0.000217269
35,16,0.000168383
35,17,9.23E-05
35,18,6.52E-05
35,19,3.80E-05
35,20,5.43E-06
35,21,5.43E-06
35,22,0
35,23,0
35,24,0
35,25,0
35,26,0
35,27,0
35,28,0
35,29,5.43E-06
35,30,0
40,0,8.15E-05
40,1,0.000304176
40,2,0.000597488
40,3,0.000928823
40,4,0.001194977
40,5,0.001379655
40,6,0.001542606
40,7,0.001721853
40,8,0.001569765
40,9,0.001401382
40,10,0.001124364
40,11,0.000994003
40,12,0.000912528
40,13,0.000559466
40,14,0.000363925
40,15,0.000195542
40,16,0.000200973
40,17,7.60E-05
40,18,2.17E-05
40,19,1.09E-05
40,20,1.63E-05
40,21,0
40,22,0
40,23,0
40,24,0
40,25,0
40,26,0
40,27,5.43E-06
40,28,5.43E-06
40,29,0
40,30,0
45,0,0.00015752
45,1,0.000396515
45,2,0.000597488
45,3,0.000782167
45,4,0.001222135
45,5,0.001368792
45,6,0.00155347
45,7,0.001678399
45,8,0.00152088
45,9,0.001390518
45,10,0.000966845
45,11,0.000896233
45,12,0.000662669
45,13,0.000510581
45,14,0.000238995
45,15,0.000114066
45,16,0.000162951
45,17,6.52E-05
45,18,1.63E-05
45,19,5.43E-06
45,20,5.43E-06
45,21,5.43E-06
45,22,0
45,23,5.43E-06
45,24,0
45,25,0
45,26,0
45,27,0
45,28,0
45,29,0
45,30,0
50,0,0.000135793
50,1,0.00034763
50,2,0.000689827
50,3,0.00101573
50,4,0.001341633
50,5,0.001499153
50,6,0.001645809
50,7,0.001944553
50,8,0.00158606
50,9,0.00136336
50,10,0.00095055
50,11,0.000765871
50,12,0.000510581
50,13,0.000331334
50,14,0.000195542
50,15,9.23E-05
50,16,4.89E-05
50,17,3.80E-05
50,18,1.09E-05
50,19,0
50,20,0
50,21,5.43E-06
50,22,0
50,23,0
50,24,0
50,25,0
50,26,0
50,27,0
50,28,0
50,29,0
50,30,5.43E-06
55,0,0.000108634
55,1,0.00038022
55,2,0.000668101
55,3,0.001042889
55,4,0.001232999
55,5,0.001575197
55,6,0.001759875
55,7,0.001683831
55,8,0.001613219
55,9,0.001281884
55,10,0.000890801
55,11,0.000668101
55,12,0.000336766
55,13,0.000217269
55,14,0.000168383
55,15,0.000119498
55,16,2.17E-05
55,17,1.63E-05
55,18,1.09E-05
55,19,0
55,20,5.43E-06
55,21,5.43E-06
55,22,0
55,23,0
55,24,0
55,25,5.43E-06
55,26,0
55,27,0
55,28,0
55,29,0
55,30,0
60,0,8.69E-05
60,1,0.000391083
60,2,0.000640942
60,3,0.001021162
60,4,0.001493721
60,5,0.001835919
60,6,0.001651241
60,7,0.001591492
60,8,0.001569765
60,9,0.001026594
60,10,0.000765871
60,11,0.000716986
60,12,0.00034763
60,13,0.000244427
60,14,0.000119498
60,15,5.43E-05
60,16,2.72E-05
60,17,1.63E-05
60,18,1.09E-05
60,19,0
60,20,5.43E-06
60,21,0
